Id,ActivityHour,TotalIntensity,AverageIntensity
1503960366,2016-04-12 12:00:00,20,0.333333
1503960366,2016-04-12 01:00:00,8,0.133333
1503960366,2016-04-12 02:00:00,7,0.116667
1503960366,2016-04-12 03:00:00,0,0
1503960366,2016-04-12 04:00:00,0,0
1503960366,2016-04-12 05:00:00,0,0
1503960366,2016-04-12 06:00:00,0,0
1503960366,2016-04-12 07:00:00,0,0
1503960366,2016-04-12 08:00:00,13,0.216667
1503960366,2016-04-12 09:00:00,30,0.5
1503960366,2016-04-12 10:00:00,29,0.483333
1503960366,2016-04-12 11:00:00,12,0.2
1503960366,2016-04-13 00:00:00,11,0.183333
1503960366,2016-04-12 13:00:00,6,0.1
1503960366,2016-04-12 14:00:00,36,0.6
1503960366,2016-04-12 15:00:00,58,0.966667
1503960366,2016-04-12 16:00:00,13,0.216667
1503960366,2016-04-12 17:00:00,16,0.266667
1503960366,2016-04-12 18:00:00,29,0.483333
1503960366,2016-04-12 19:00:00,39,0.65
1503960366,2016-04-12 20:00:00,41,0.683333
1503960366,2016-04-12 21:00:00,31,0.516667
1503960366,2016-04-12 22:00:00,9,0.15
1503960366,2016-04-12 23:00:00,21,0.35
1503960366,2016-04-13 12:00:00,14,0.233333
1503960366,2016-04-13 01:00:00,0,0
1503960366,2016-04-13 02:00:00,0,0
1503960366,2016-04-13 03:00:00,4,0.066667
1503960366,2016-04-13 04:00:00,0,0
1503960366,2016-04-13 05:00:00,0,0
1503960366,2016-04-13 06:00:00,0,0
1503960366,2016-04-13 07:00:00,8,0.133333
1503960366,2016-04-13 08:00:00,12,0.2
1503960366,2016-04-13 09:00:00,27,0.45
1503960366,2016-04-13 10:00:00,15,0.25
1503960366,2016-04-13 11:00:00,16,0.266667
1503960366,2016-04-14 00:00:00,15,0.25
1503960366,2016-04-13 13:00:00,10,0.166667
1503960366,2016-04-13 14:00:00,46,0.766667
1503960366,2016-04-13 15:00:00,13,0.216667
1503960366,2016-04-13 16:00:00,10,0.166667
1503960366,2016-04-13 17:00:00,23,0.383333
1503960366,2016-04-13 18:00:00,25,0.416667
1503960366,2016-04-13 19:00:00,13,0.216667
1503960366,2016-04-13 20:00:00,0,0
1503960366,2016-04-13 21:00:00,0,0
1503960366,2016-04-13 22:00:00,11,0.183333
1503960366,2016-04-13 23:00:00,56,0.933333
1503960366,2016-04-14 12:00:00,4,0.066667
1503960366,2016-04-14 01:00:00,3,0.05
1503960366,2016-04-14 02:00:00,0,0
1503960366,2016-04-14 03:00:00,0,0
1503960366,2016-04-14 04:00:00,0,0
1503960366,2016-04-14 05:00:00,0,0
1503960366,2016-04-14 06:00:00,0,0
1503960366,2016-04-14 07:00:00,0,0
1503960366,2016-04-14 08:00:00,0,0
1503960366,2016-04-14 09:00:00,14,0.233333
1503960366,2016-04-14 10:00:00,23,0.383333
1503960366,2016-04-14 11:00:00,7,0.116667
1503960366,2016-04-15 00:00:00,18,0.3
1503960366,2016-04-14 13:00:00,54,0.9
1503960366,2016-04-14 14:00:00,22,0.366667
1503960366,2016-04-14 15:00:00,7,0.116667
1503960366,2016-04-14 16:00:00,25,0.416667
1503960366,2016-04-14 17:00:00,5,0.083333
1503960366,2016-04-14 18:00:00,12,0.2
1503960366,2016-04-14 19:00:00,1,0.016667
1503960366,2016-04-14 20:00:00,24,0.4
1503960366,2016-04-14 21:00:00,57,0.95
1503960366,2016-04-14 22:00:00,17,0.283333
1503960366,2016-04-14 23:00:00,0,0
1503960366,2016-04-15 12:00:00,6,0.1
1503960366,2016-04-15 01:00:00,5,0.083333
1503960366,2016-04-15 02:00:00,7,0.116667
1503960366,2016-04-15 03:00:00,0,0
1503960366,2016-04-15 04:00:00,0,0
1503960366,2016-04-15 05:00:00,1,0.016667
1503960366,2016-04-15 06:00:00,0,0
1503960366,2016-04-15 07:00:00,1,0.016667
1503960366,2016-04-15 08:00:00,5,0.083333
1503960366,2016-04-15 09:00:00,2,0.033333
1503960366,2016-04-15 10:00:00,8,0.133333
1503960366,2016-04-15 11:00:00,23,0.383333
1503960366,2016-04-16 00:00:00,13,0.216667
1503960366,2016-04-15 13:00:00,9,0.15
1503960366,2016-04-15 14:00:00,0,0
1503960366,2016-04-15 15:00:00,0,0
1503960366,2016-04-15 16:00:00,0,0
1503960366,2016-04-15 17:00:00,47,0.783333
1503960366,2016-04-15 18:00:00,22,0.366667
1503960366,2016-04-15 19:00:00,32,0.533333
1503960366,2016-04-15 20:00:00,8,0.133333
1503960366,2016-04-15 21:00:00,14,0.233333
1503960366,2016-04-15 22:00:00,66,1.1
1503960366,2016-04-15 23:00:00,95,1.583333
1503960366,2016-04-16 12:00:00,15,0.25
1503960366,2016-04-16 01:00:00,0,0
1503960366,2016-04-16 02:00:00,3,0.05
1503960366,2016-04-16 03:00:00,1,0.016667
1503960366,2016-04-16 04:00:00,1,0.016667
1503960366,2016-04-16 05:00:00,1,0.016667
1503960366,2016-04-16 06:00:00,0,0
1503960366,2016-04-16 07:00:00,4,0.066667
1503960366,2016-04-16 08:00:00,9,0.15
1503960366,2016-04-16 09:00:00,38,0.633333
1503960366,2016-04-16 10:00:00,14,0.233333
1503960366,2016-04-16 11:00:00,30,0.5
1503960366,2016-04-17 00:00:00,42,0.7
1503960366,2016-04-16 13:00:00,90,1.5
1503960366,2016-04-16 14:00:00,20,0.333333
1503960366,2016-04-16 15:00:00,0,0
1503960366,2016-04-16 16:00:00,2,0.033333
1503960366,2016-04-16 17:00:00,17,0.283333
1503960366,2016-04-16 18:00:00,10,0.166667
1503960366,2016-04-16 19:00:00,12,0.2
