"id","sleep_day","total_sleep_records","total_minutes_asleep","total_time_in_bed","total_time_before_asleep"
"1503960366","2016-04-12",1,327,346,19
"1503960366","2016-04-13",2,384,407,23
"1503960366","2016-04-15",1,412,442,30
"1503960366","2016-04-16",2,340,367,27
"1503960366","2016-04-17",1,700,712,12
"1503960366","2016-04-19",1,304,320,16
"1503960366","2016-04-20",1,360,377,17
"1503960366","2016-04-21",1,325,364,39
"1503960366","2016-04-23",1,361,384,23
"1503960366","2016-04-24",1,430,449,19
"1503960366","2016-04-25",1,277,323,46
"1503960366","2016-04-26",1,245,274,29
"1503960366","2016-04-28",1,366,393,27
"1503960366","2016-04-29",1,341,354,13
"1503960366","2016-04-30",1,404,425,21
"1503960366","2016-05-01",1,369,396,27
"1503960366","2016-05-02",1,277,309,32
"1503960366","2016-05-03",1,273,296,23
"1503960366","2016-05-05",1,247,264,17
"1503960366","2016-05-06",1,334,367,33
"1503960366","2016-05-07",1,331,349,18
"1503960366","2016-05-08",1,594,611,17
"1503960366","2016-05-09",1,338,342,4
"1503960366","2016-05-10",1,383,403,20
"1503960366","2016-05-11",1,285,306,21
"1644430081","2016-04-29",1,119,127,8
"1644430081","2016-04-30",1,124,142,18
"1644430081","2016-05-02",1,796,961,165
"1644430081","2016-05-08",1,137,154,17
"1844505072","2016-04-15",1,644,961,317
"1844505072","2016-04-30",1,722,961,239
"1844505072","2016-05-01",1,590,961,371
"1927972279","2016-04-12",3,750,775,25
"1927972279","2016-04-13",1,398,422,24
"1927972279","2016-04-15",2,475,499,24
"1927972279","2016-04-26",1,296,315,19
"1927972279","2016-04-28",1,166,178,12
"2026352035","2016-04-12",1,503,546,43
"2026352035","2016-04-13",1,531,565,34
"2026352035","2016-04-14",1,545,568,23
"2026352035","2016-04-15",1,523,573,50
"2026352035","2016-04-16",1,524,567,43
"2026352035","2016-04-17",1,437,498,61
"2026352035","2016-04-19",1,498,540,42
"2026352035","2016-04-20",1,461,510,49
"2026352035","2016-04-21",1,477,514,37
"2026352035","2016-04-22",1,520,545,25
"2026352035","2016-04-23",1,522,554,32
"2026352035","2016-04-24",1,555,591,36
"2026352035","2016-04-25",1,506,531,25
"2026352035","2016-04-27",1,508,545,37
"2026352035","2016-04-28",1,513,545,32
"2026352035","2016-04-29",1,490,510,20
"2026352035","2016-04-30",1,573,607,34
"2026352035","2016-05-01",1,527,546,19
"2026352035","2016-05-02",1,511,543,32
"2026352035","2016-05-04",1,538,560,22
"2026352035","2016-05-05",1,468,485,17
"2026352035","2016-05-06",1,524,548,24
"2026352035","2016-05-07",1,511,521,10
"2026352035","2016-05-08",1,541,568,27
"2026352035","2016-05-09",1,531,556,25
"2026352035","2016-05-10",1,357,380,23
"2026352035","2016-05-11",1,523,553,30
"2026352035","2016-05-12",1,456,485,29
"2320127002","2016-04-23",1,61,69,8
"2347167796","2016-04-13",1,467,531,64
"2347167796","2016-04-14",1,445,489,44
"2347167796","2016-04-15",1,452,504,52
"2347167796","2016-04-17",1,556,602,46
"2347167796","2016-04-18",1,500,557,57
"2347167796","2016-04-19",1,465,514,49
"2347167796","2016-04-21",1,460,484,24
"2347167796","2016-04-22",1,405,461,56
"2347167796","2016-04-23",1,374,386,12
"2347167796","2016-04-24",1,442,459,17
"2347167796","2016-04-25",1,433,471,38
"2347167796","2016-04-26",1,436,490,54
"2347167796","2016-04-27",1,448,499,51
"2347167796","2016-04-28",1,408,450,42
"2347167796","2016-04-29",1,411,473,62
"3977333714","2016-04-12",1,274,469,195
"3977333714","2016-04-13",2,295,456,161
"3977333714","2016-04-14",1,291,397,106
"3977333714","2016-04-15",1,424,556,132
"3977333714","2016-04-16",1,283,510,227
"3977333714","2016-04-17",1,381,566,185
"3977333714","2016-04-18",2,412,522,110
"3977333714","2016-04-19",1,219,395,176
"3977333714","2016-04-20",2,152,305,153
"3977333714","2016-04-21",1,332,512,180
"3977333714","2016-04-22",1,355,476,121
"3977333714","2016-04-23",1,235,372,137
"3977333714","2016-04-24",1,310,526,216
"3977333714","2016-04-25",1,262,467,205
"3977333714","2016-04-26",1,250,371,121
"3977333714","2016-04-27",1,349,540,191
"3977333714","2016-04-28",1,261,423,162
"3977333714","2016-04-29",1,333,478,145
"3977333714","2016-04-30",1,237,382,145
"3977333714","2016-05-01",1,383,626,243
"3977333714","2016-05-02",1,230,384,154
"3977333714","2016-05-03",1,292,500,208
"3977333714","2016-05-04",1,213,336,123
"3977333714","2016-05-05",1,318,480,162
"3977333714","2016-05-06",1,323,512,189
"3977333714","2016-05-07",1,237,443,206
"3977333714","2016-05-08",2,259,456,197
"3977333714","2016-05-10",1,312,452,140
"4020332650","2016-04-12",1,501,541,40
"4020332650","2016-04-16",1,77,77,0
"4020332650","2016-05-03",1,322,332,10
"4020332650","2016-05-04",1,478,536,58
"4020332650","2016-05-05",1,226,248,22
"4020332650","2016-05-06",1,385,408,23
"4020332650","2016-05-08",1,364,402,38
"4020332650","2016-05-10",1,442,494,52
"4319703577","2016-04-14",1,535,557,22
"4319703577","2016-04-15",1,465,491,26
"4319703577","2016-04-16",1,506,522,16
"4319703577","2016-04-18",1,515,551,36
"4319703577","2016-04-19",2,461,498,37
"4319703577","2016-04-20",1,523,543,20
"4319703577","2016-04-21",1,59,65,6
"4319703577","2016-04-22",1,533,550,17
"4319703577","2016-04-23",1,692,722,30
"4319703577","2016-04-24",1,467,501,34
"4319703577","2016-04-25",1,488,506,18
"4319703577","2016-04-26",1,505,516,11
"4319703577","2016-04-27",1,286,307,21
"4319703577","2016-04-28",1,497,522,25
"4319703577","2016-04-29",1,523,546,23
"4319703577","2016-04-30",1,490,516,26
"4319703577","2016-05-01",1,484,500,16
"4319703577","2016-05-02",1,478,506,28
"4319703577","2016-05-03",1,474,512,38
"4319703577","2016-05-06",1,450,491,41
"4319703577","2016-05-07",1,507,530,23
"4319703577","2016-05-08",1,602,638,36
"4319703577","2016-05-09",1,535,565,30
"4319703577","2016-05-10",1,487,517,30
"4319703577","2016-05-11",1,529,558,29
"4319703577","2016-05-12",1,302,321,19
"4388161847","2016-04-15",1,499,526,27
"4388161847","2016-04-16",2,426,448,22
"4388161847","2016-04-17",2,619,641,22
"4388161847","2016-04-18",1,99,104,5
"4388161847","2016-04-19",1,329,338,9
"4388161847","2016-04-20",1,421,451,30
"4388161847","2016-04-21",1,442,458,16
"4388161847","2016-04-22",1,82,85,3
"4388161847","2016-04-23",1,478,501,23
"4388161847","2016-04-24",3,552,595,43
"4388161847","2016-04-26",1,319,346,27
"4388161847","2016-04-27",1,439,500,61
"4388161847","2016-04-28",1,428,458,30
"4388161847","2016-04-30",2,409,430,21
"4388161847","2016-05-01",1,547,597,50
"4388161847","2016-05-02",2,368,376,8
"4388161847","2016-05-04",1,390,414,24
"4388161847","2016-05-05",1,471,495,24
"4388161847","2016-05-05",1,471,495,24
"4388161847","2016-05-07",1,472,496,24
"4388161847","2016-05-08",2,529,541,12
"4388161847","2016-05-09",1,62,65,3
"4388161847","2016-05-10",1,354,375,21
"4388161847","2016-05-11",1,469,494,25
"4445114986","2016-04-12",2,429,457,28
"4445114986","2016-04-13",2,370,406,36
"4445114986","2016-04-14",1,441,492,51
"4445114986","2016-04-15",2,337,379,42
"4445114986","2016-04-16",1,462,499,37
"4445114986","2016-04-17",1,98,107,9
"4445114986","2016-04-19",2,388,424,36
"4445114986","2016-04-20",1,439,462,23
"4445114986","2016-04-21",1,436,469,33
"4445114986","2016-04-22",1,388,417,29
