"id","activity_hour","calories","total_intensity","average_intensity","step_total","intensity_level"
"1503960366","2016-04-12 12:00:00",73,20,"0.333333",373,"Nothing"
"1503960366","2016-04-12 01:00:00",61,8,"0.133333",160,"Nothing"
"1503960366","2016-04-12 02:00:00",59,7,"0.116667",151,"Nothing"
"1503960366","2016-04-12 03:00:00",47,0,"0",0,"Nothing"
"1503960366","2016-04-12 04:00:00",48,0,"0",0,"Nothing"
"1503960366","2016-04-12 05:00:00",48,0,"0",0,"Nothing"
"1503960366","2016-04-12 06:00:00",48,0,"0",0,"Nothing"
"1503960366","2016-04-12 07:00:00",47,0,"0",0,"Nothing"
"1503960366","2016-04-12 08:00:00",68,13,"0.216667",250,"Nothing"
"1503960366","2016-04-12 09:00:00",141,30,"0.5",1864,"Just Noticeable"
"1503960366","2016-04-12 10:00:00",99,29,"0.483333",676,"Nothing"
"1503960366","2016-04-12 11:00:00",76,12,"0.2",360,"Nothing"
"1503960366","2016-04-13 00:00:00",69,11,"0.183333",253,"Nothing"
"1503960366","2016-04-12 13:00:00",66,6,"0.1",221,"Nothing"
"1503960366","2016-04-12 14:00:00",110,36,"0.6",1166,"Just Noticeable"
"1503960366","2016-04-12 15:00:00",151,58,"0.966667",2063,"Just Noticeable"
"1503960366","2016-04-12 16:00:00",76,13,"0.216667",344,"Nothing"
"1503960366","2016-04-12 17:00:00",83,16,"0.266667",489,"Nothing"
"1503960366","2016-04-12 18:00:00",124,29,"0.483333",1386,"Nothing"
"1503960366","2016-04-12 19:00:00",104,39,"0.65",558,"Just Noticeable"
"1503960366","2016-04-12 20:00:00",132,41,"0.683333",1733,"Just Noticeable"
"1503960366","2016-04-12 21:00:00",100,31,"0.516667",684,"Just Noticeable"
"1503960366","2016-04-12 22:00:00",65,9,"0.15",89,"Nothing"
"1503960366","2016-04-12 23:00:00",81,21,"0.35",338,"Nothing"
"1503960366","2016-04-13 12:00:00",82,14,"0.233333",144,"Nothing"
"1503960366","2016-04-13 01:00:00",48,0,"0",0,"Nothing"
"1503960366","2016-04-13 02:00:00",47,0,"0",0,"Nothing"
"1503960366","2016-04-13 03:00:00",53,4,"0.066667",36,"Nothing"
"1503960366","2016-04-13 04:00:00",47,0,"0",0,"Nothing"
"1503960366","2016-04-13 05:00:00",47,0,"0",0,"Nothing"
"1503960366","2016-04-13 06:00:00",48,0,"0",0,"Nothing"
"1503960366","2016-04-13 07:00:00",59,8,"0.133333",126,"Nothing"
"1503960366","2016-04-13 08:00:00",69,12,"0.2",275,"Nothing"
"1503960366","2016-04-13 09:00:00",136,27,"0.45",1679,"Nothing"
"1503960366","2016-04-13 10:00:00",77,15,"0.25",295,"Nothing"
"1503960366","2016-04-13 11:00:00",84,16,"0.266667",524,"Nothing"
"1503960366","2016-04-14 00:00:00",56,15,"0.25",486,"Nothing"
"1503960366","2016-04-13 13:00:00",72,10,"0.166667",302,"Nothing"
"1503960366","2016-04-13 14:00:00",128,46,"0.766667",1577,"Just Noticeable"
"1503960366","2016-04-13 15:00:00",79,13,"0.216667",493,"Nothing"
"1503960366","2016-04-13 16:00:00",71,10,"0.166667",299,"Nothing"
"1503960366","2016-04-13 17:00:00",87,23,"0.383333",695,"Nothing"
"1503960366","2016-04-13 18:00:00",118,25,"0.416667",1343,"Nothing"
"1503960366","2016-04-13 19:00:00",73,13,"0.216667",258,"Nothing"
"1503960366","2016-04-13 20:00:00",47,0,"0",0,"Nothing"
"1503960366","2016-04-13 21:00:00",48,0,"0",0,"Nothing"
"1503960366","2016-04-13 22:00:00",74,11,"0.183333",437,"Nothing"
"1503960366","2016-04-13 23:00:00",135,56,"0.933333",1766,"Just Noticeable"
"1503960366","2016-04-14 12:00:00",85,4,"0.066667",81,"Nothing"
"1503960366","2016-04-14 01:00:00",54,3,"0.05",58,"Nothing"
"1503960366","2016-04-14 02:00:00",47,0,"0",0,"Nothing"
"1503960366","2016-04-14 03:00:00",47,0,"0",0,"Nothing"
"1503960366","2016-04-14 04:00:00",47,0,"0",0,"Nothing"
"1503960366","2016-04-14 05:00:00",47,0,"0",0,"Nothing"
"1503960366","2016-04-14 06:00:00",47,0,"0",0,"Nothing"
"1503960366","2016-04-14 07:00:00",47,0,"0",0,"Nothing"
"1503960366","2016-04-14 08:00:00",47,0,"0",0,"Nothing"
"1503960366","2016-04-14 09:00:00",93,14,"0.233333",902,"Nothing"
"1503960366","2016-04-14 10:00:00",109,23,"0.383333",1106,"Nothing"
"1503960366","2016-04-14 11:00:00",64,7,"0.116667",50,"Nothing"
"1503960366","2016-04-15 00:00:00",60,18,"0.3",501,"Nothing"
